recruitment_fact_id,candidate_id,job_role_id,application_date,recruitment_source,stage,interview_score,offer_status,hired_flag,time_to_hire_days,score_band,fast_hire_flag,time_to_hire_category,high_quality_candidate,offer_accepted,hiring_efficiency_score,source_rank,candidate_status,hiring_delay_flag
1,CAND000001,15,2025-12-31,CAMPUS,APPLIED,1.62,REJECTED,0,25,Poor,0,Normal,0,0,99.3,5.0,Rejected,0
2,CAND000002,88,2025-05-21,REFERRAL,APPLIED,1.23,REJECTED,0,30,Poor,0,Normal,0,0,88.45,2.0,Rejected,0
3,CAND000003,38,2024-01-21,COMPANY WEBSITE,HIRED,3.47,OFFERED,1,28,Good,0,Normal,0,1,100.0,3.0,Hired,0
4,CAND000004,49,2024-04-19,REFERRAL,APPLIED,1.56,REJECTED,0,34,Poor,0,Slow,0,0,89.4,2.0,Rejected,1
5,CAND000005,15,2023-07-09,AGENCY,HIRED,3.47,OFFERED,1,50,Good,0,Slow,0,1,100.0,4.0,Hired,1
6,CAND000006,3,2024-10-08,CAMPUS,APPLIED,1.26,HOLD,0,10,Poor,1,Fast,0,0,100.0,5.0,On Hold,0
7,CAND000007,14,2023-08-30,NAUKRI,HIRED,1.06,OFFERED,1,8,Poor,1,Fast,0,1,100.0,6.0,Hired,0
8,CAND000008,60,2024-05-23,REFERRAL,INTERVIEW,2.56,REJECTED,0,56,Average,0,Slow,0,0,82.4,2.0,Rejected,1
9,CAND000009,6,2024-07-19,NAUKRI,APPLIED,1.74,HOLD,0,24,Poor,0,Normal,0,0,100.0,6.0,On Hold,0
10,CAND000010,34,2023-07-21,AGENCY,HIRED,3.39,OFFERED,1,54,Good,0,Slow,0,1,96.85,4.0,Hired,1
11,CAND000011,87,2025-10-13,AGENCY,INTERVIEW,2.55,HOLD,0,24,Average,0,Normal,0,0,100.0,4.0,On Hold,0
12,CAND000012,26,2023-08-05,COMPANY WEBSITE,INTERVIEW,3.17,HOLD,0,47,Good,0,Slow,0,0,100.0,3.0,On Hold,1
13,CAND000013,65,2024-06-04,LINKEDIN,INTERVIEW,2.17,REJECTED,0,17,Average,0,Normal,0,0,100.0,1.0,Rejected,0
14,CAND000014,35,2024-02-23,LINKEDIN,APPLIED,1.3,HOLD,0,45,Poor,0,Slow,0,0,74.5,1.0,On Hold,1
15,CAND000015,7,2023-07-20,COMPANY WEBSITE,APPLIED,1.38,HOLD,0,29,Poor,0,Normal,0,0,91.7,3.0,On Hold,0
16,CAND000016,99,2024-11-14,AGENCY,INTERVIEW,3.24,REJECTED,0,41,Good,0,Slow,0,0,100.0,4.0,Rejected,1
17,CAND000017,3,2025-10-25,NAUKRI,INTERVIEW,4.08,HOLD,0,45,Excellent,0,Slow,1,0,100.0,6.0,On Hold,1
18,CAND000018,15,2025-06-10,CAMPUS,APPLIED,1.13,REJECTED,0,45,Poor,0,Slow,0,0,71.95,5.0,Rejected,1
19,CAND000019,96,2024-04-29,CAMPUS,INTERVIEW,4.02,REJECTED,0,42,Excellent,0,Slow,1,0,100.0,5.0,Rejected,1
20,CAND000020,71,2024-07-31,NAUKRI,HIRED,2.18,OFFERED,1,59,Average,0,Slow,0,1,73.7,6.0,Hired,1
21,CAND000021,28,2023-07-09,LINKEDIN,HIRED,1.91,OFFERED,1,58,Poor,0,Slow,0,1,70.65,1.0,Hired,1
22,CAND000022,70,2024-10-10,AGENCY,INTERVIEW,3.77,REJECTED,0,48,Good,0,Slow,0,0,100.0,4.0,Rejected,1
23,CAND000023,59,2024-03-17,COMPANY WEBSITE,INTERVIEW,2.01,REJECTED,0,8,Average,1,Fast,0,0,100.0,3.0,Rejected,0
24,CAND000024,56,2024-11-29,LINKEDIN,INTERVIEW,3.01,REJECTED,0,29,Good,0,Normal,0,0,100.0,1.0,Rejected,0
25,CAND000025,1,2025-12-12,COMPANY WEBSITE,INTERVIEW,4.94,REJECTED,0,38,Excellent,0,Slow,1,0,100.0,3.0,Rejected,1
26,CAND000026,75,2023-05-03,LINKEDIN,INTERVIEW,4.21,REJECTED,0,11,Excellent,1,Fast,1,0,100.0,1.0,Rejected,0
27,CAND000027,86,2025-01-21,LINKEDIN,INTERVIEW,2.28,HOLD,0,12,Average,1,Fast,0,0,100.0,1.0,On Hold,0
28,CAND000028,20,2025-02-02,REFERRAL,APPLIED,1.07,REJECTED,0,9,Poor,1,Fast,0,0,100.0,2.0,Rejected,0
29,CAND000029,20,2025-05-13,COMPANY WEBSITE,HIRED,3.76,OFFERED,1,45,Good,0,Slow,0,1,100.0,3.0,Hired,1
30,CAND000030,1,2024-04-17,NAUKRI,HIRED,3.17,OFFERED,1,48,Good,0,Slow,0,1,99.55,6.0,Hired,1
31,CAND000031,16,2023-12-12,LINKEDIN,INTERVIEW,3.12,HOLD,0,8,Good,1,Fast,0,0,100.0,1.0,On Hold,0
32,CAND000032,12,2024-03-28,CAMPUS,HIRED,1.75,OFFERED,1,47,Poor,0,Slow,0,1,79.25,5.0,Hired,1
33,CAND000033,80,2024-02-08,AGENCY,INTERVIEW,3.57,HOLD,0,17,Good,0,Normal,0,0,100.0,4.0,On Hold,0
34,CAND000034,36,2023-04-14,COMPANY WEBSITE,HIRED,1.04,OFFERED,1,31,Poor,0,Slow,0,1,84.6,3.0,Hired,1
35,CAND000035,18,2025-05-27,NAUKRI,INTERVIEW,3.77,REJECTED,0,22,Good,0,Normal,0,0,100.0,6.0,Rejected,0
36,CAND000036,100,2023-06-10,COMPANY WEBSITE,HIRED,2.98,OFFERED,1,54,Average,0,Slow,0,1,90.7,3.0,Hired,1
37,CAND000037,8,2024-02-05,LINKEDIN,INTERVIEW,3.04,HOLD,0,28,Good,0,Normal,0,0,100.0,1.0,On Hold,0
38,CAND000038,30,2023-02-07,AGENCY,INTERVIEW,2.95,HOLD,0,14,Average,1,Fast,0,0,100.0,4.0,On Hold,0
39,CAND000039,21,2025-03-08,LINKEDIN,INTERVIEW,3.68,HOLD,0,39,Good,0,Slow,0,0,100.0,1.0,On Hold,1
40,CAND000040,48,2024-10-20,COMPANY WEBSITE,INTERVIEW,4.07,REJECTED,0,23,Excellent,0,Normal,1,0,100.0,3.0,Rejected,0
41,CAND000041,30,2024-04-21,AGENCY,HIRED,4.53,OFFERED,1,47,Excellent,0,Slow,1,1,100.0,4.0,Hired,1
42,CAND000042,93,2024-05-11,AGENCY,HIRED,3.29,OFFERED,1,39,Good,0,Slow,0,1,100.0,4.0,Hired,1
43,CAND000043,85,2025-07-16,LINKEDIN,APPLIED,1.68,REJECTED,0,31,Poor,0,Slow,0,0,94.2,1.0,Rejected,1
44,CAND000044,58,2024-11-16,NAUKRI,INTERVIEW,4.96,HOLD,0,8,Excellent,1,Fast,1,0,100.0,6.0,On Hold,0
45,CAND000045,2,2025-02-23,LINKEDIN,INTERVIEW,3.81,HOLD,0,54,Good,0,Slow,0,0,100.0,1.0,On Hold,1
46,CAND000046,26,2025-07-09,CAMPUS,INTERVIEW,3.05,HOLD,0,42,Good,0,Slow,0,0,100.0,5.0,On Hold,1
47,CAND000047,65,2024-05-26,AGENCY,HIRED,4.56,OFFERED,1,29,Excellent,0,Normal,1,1,100.0,4.0,Hired,0
48,CAND000048,66,2024-12-27,AGENCY,INTERVIEW,2.86,HOLD,0,28,Average,0,Normal,0,0,100.0,4.0,On Hold,0
49,CAND000049,49,2024-11-12,AGENCY,INTERVIEW,2.44,HOLD,0,43,Average,0,Slow,0,0,93.6,4.0,On Hold,1
50,CAND000050,60,2025-09-30,COMPANY WEBSITE,INTERVIEW,2.83,REJECTED,0,12,Average,1,Fast,0,0,100.0,3.0,Rejected,0
51,CAND000051,94,2023-02-16,REFERRAL,APPLIED,1.55,HOLD,0,22,Poor,0,Normal,0,0,100.0,2.0,On Hold,0
52,CAND000052,30,2024-10-18,REFERRAL,HIRED,3.98,OFFERED,1,32,Good,0,Slow,0,1,100.0,2.0,Hired,1
53,CAND000053,62,2025-03-01,LINKEDIN,INTERVIEW,2.64,REJECTED,0,7,Average,1,Fast,0,0,100.0,1.0,Rejected,0
54,CAND000054,48,2024-05-02,CAMPUS,INTERVIEW,3.55,HOLD,0,45,Good,0,Slow,0,0,100.0,5.0,On Hold,1
55,CAND000055,22,2025-05-10,REFERRAL,INTERVIEW,3.26,REJECTED,0,57,Good,0,Slow,0,0,91.9,2.0,Rejected,1
56,CAND000056,57,2025-12-28,LINKEDIN,HIRED,4.42,OFFERED,1,58,Excellent,0,Slow,1,1,100.0,1.0,Hired,1
57,CAND000057,90,2024-04-18,CAMPUS,INTERVIEW,2.39,HOLD,0,36,Average,0,Slow,0,0,99.85,5.0,On Hold,1
58,CAND000058,10,2025-03-12,COMPANY WEBSITE,APPLIED,1.06,HOLD,0,25,Poor,0,Normal,0,0,90.9,3.0,On Hold,0
59,CAND000059,69,2024-05-30,NAUKRI,INTERVIEW,4.47,REJECTED,0,38,Excellent,0,Slow,1,0,100.0,6.0,Rejected,1
60,CAND000060,24,2024-11-20,REFERRAL,HIRED,1.51,OFFERED,1,57,Poor,0,Slow,0,1,65.65,2.0,Hired,1
61,CAND000061,12,2025-12-02,COMPANY WEBSITE,HIRED,1.28,OFFERED,1,37,Poor,0,Slow,0,1,82.2,3.0,Hired,1
62,CAND000062,35,2024-12-27,LINKEDIN,INTERVIEW,2.28,REJECTED,0,32,Average,0,Slow,0,0,100.0,1.0,Rejected,1
63,CAND000063,34,2023-04-25,LINKEDIN,APPLIED,1.47,HOLD,0,59,Poor,0,Slow,0,0,63.05,1.0,On Hold,1
64,CAND000064,29,2024-12-29,CAMPUS,INTERVIEW,2.13,REJECTED,0,16,Average,0,Normal,0,0,100.0,5.0,Rejected,0
65,CAND000065,64,2025-01-08,LINKEDIN,INTERVIEW,2.65,HOLD,0,24,Average,0,Normal,0,0,100.0,1.0,On Hold,0
66,CAND000066,24,2024-10-24,AGENCY,APPLIED,1.95,HOLD,0,19,Poor,0,Normal,0,0,100.0,4.0,On Hold,0
67,CAND000067,30,2023-03-03,COMPANY WEBSITE,INTERVIEW,2.28,REJECTED,0,25,Average,0,Normal,0,0,100.0,3.0,Rejected,0
68,CAND000068,61,2023-03-17,LINKEDIN,INTERVIEW,4.83,HOLD,0,37,Excellent,0,Slow,1,0,100.0,1.0,On Hold,1
